"English","Italian","Success","Total"
"bag","borsa, busta",6,7
"old","vecchio",14,18
"it's hot (weather)","fa caldo",8,8
"ice box","ghiacciaia",11,13
"to live, to dwell","abitare",7,7
"the other side","l'altro lato",9,10
"pregnant","incinta, pregnante",6,6
"May I speak?","Potrei parlare?",4,4
"last night","ieri sera",12,15
"evening","sera",9,10
"to become bored","annoiarsi",3,4
"Someone who can convince you of anything","venditore di fumo",4,4
"don't finish (formal)","non finisca",2,2
"breakfast","la prima colazione",15,19
"to lose","perdere",10,11
"to finish, conjugated as past participle","avere finito",8,9
"to study","studiare",9,9
"fun","divertimento",4,7
"raggiungere","to catch up",5,7
"professor (female)","professoressa",7,7
"months","mesi",7,7
"fall","l'autonno",9,10
"He is nicer than he is intelligent","Lui è più simpatico che intelligente",9,10
"colors","i colori",8,8
"pasta and sauces","la pasta e le salse",8,8
"a couple, (i.e. couple of friends)","coppia",2,2
"camping","il campeggio",15,19
"to entertain","intrattenere",15,19
"to sustain","sostenere",9,9
"if","se",9,9
"newness, novelty","novita",14,18
"here is","ecco",9,10
"similar","simile",9,10
"mistake","sbaglio",2,2
"to load (download, upload)","caricare",1,2
"nurse","un'infermiera",10,13
"donut hole","castagnole",5,6
"one time","una volta",11,12
"parts of the body","le parti del corpo",8,8
"Would you give me your pen?","Mi darebbe la sua penna?",3,4
"few","pochi",9,11
"to worship, to really like","adorare",5,5
"sleeping","dormendo",3,3
"which","quale",9,10
"enough","abbastanza",10,11
"who knows","chissà",5,7
"drinking","bevendo",3,3
"danger","pericolo",8,10
"sister","sorella",8,8
"mud","fango",0,0
"to want, conjugated in present tense","voglio*vuoi*vuole*vogliamo*volete*vogliono",20,30
"to practice","practicare",5,5
"to begin","cominciare",10,12
"no smoking","vietato fumare",9,10
"That's all","ecco tutto",3,4
"brother","fratello",8,8
"poor little one","povero piccolo",5,6
"naturally, by nature","naturalmente",4,4
"uscire","to go out",6,7
"to do, conjugated in present tense","faccio*fai*fa*facciamo*fate*fanno",11,13
"beast","bestia",4,4
"nothing","niente",9,9
"everything","tutto",9,9
"by now","ormai",4,4
"to speak, conjugated in present tense","parlo*parli*parla*parliamo*parlate*parlano",18,24
"your (plural)","vostro",14,18
"behind schedule","in ritardo",7,7
"exclusion","esclusione",13,16
"above","sopra",21,29
"the second (not the first)","il secondo",8,8
"pastry","cornetta",7,8
"doing","facendo",4,4
